Temps;Rayon normalise;Diametre;rayon;Aire;Int dens GFP;Background;CTCF;CTCF normalisee GFP;Int dens DAPI;Background;CTCF;CTCF normalisee DAPI;Ratio normalise
732.78;0.949044586;67.646;33.823;6539.07;9448743.269;212.855;8056869.524;0.97538203;1399221.892;118.461;624597.1207;0.244072732;3.996276122
738.99;0.949044586;67.646;33.823;6539.07;9461258.853;213.082;8067900.739;0.976717492;1400912.095;118.522;625888.4405;0.244577338;3.993491378
745.2;0.949044586;67.646;33.823;6539.07;9527921.003;213.82;8129737.056;0.98420353;1398533.812;118.6;623000.11;0.243448671;4.042755823
751.41;0.949044586;67.646;33.823;6539.07;9504122.846;213.559;8107645.596;0.981529091;1399041.321;118.581;623631.8613;0.243695539;4.027685919
757.62;0.949044586;67.646;33.823;6539.07;9507895.697;213.592;8111202.658;0.981959716;1397637.195;118.565;622332.3605;0.243187735;4.037866939
763.83;0.949044586;67.646;33.823;6539.07;9531326.453;213.938;8132370.895;0.984522389;1395827.264;118.493;620993.2425;0.24266445;4.057134809
770.04;0.947452229;67.5325;33.76625;6539.07;9521789.193;213.698;8124403.012;0.98355778;1397345.966;118.407;623074.3045;0.243477663;4.039622221
776.25;0.947452229;67.5325;33.76625;6539.07;9421999.314;212.56;8032054.595;0.972377881;1393882.881;118.265;620539.7675;0.242487247;4.010016583
782.46;0.949044586;67.646;33.823;6539.07;9463359.24;212.885;8071289.323;0.977127722;1394035.871;118.232;620908.5468;0.242631354;4.027211263
788.67;0.949044586;67.646;33.823;6539.07;9452919.631;212.855;8061045.886;0.975887629;1390279.651;118.405;616021.0677;0.240721482;4.054011381
794.88;0.949044586;67.646;33.823;6539.07;9445451.145;213.109;8051916.476;0.974782403;1393398.56;118.158;620755.1269;0.242571402;4.018538019
801.09;0.949044586;67.646;33.823;6539.07;9458286.467;212.986;8065556.104;0.976433646;1389196.666;118.352;615284.6534;0.240433715;4.061134462
807.3;0.949044586;67.646;33.823;6539.07;9385462.452;211.956;7999467.331;0.968432796;1390566.539;118.095;618335.0674;0.24162572;4.007987214
813.51;0.949044586;67.646;33.823;6539.07;9397881.716;212.498;8008342.419;0.969507233;1389507.502;118.099;617249.8741;0.241201661;4.019488216
819.72;0.949044586;67.646;33.823;6539.07;9407793.991;212.317;8019438.266;0.970850521;1386876.559;118.236;613723.0785;0.239823501;4.048187589
825.93;0.949044586;67.646;33.823;6539.07;9475936.737;213.242;8081532.372;0.978367767;1385701.105;118.317;612017.9598;0.239157195;4.090898323
832.14;0.949044586;67.646;33.823;6539.07;9511028.532;213.571;8114472.813;0.982355608;1384962.772;118.332;611181.5408;0.238830349;4.113194212
838.35;0.949044586;67.646;33.823;6539.07;9536859.058;214.162;8136438.749;0.985014852;1386140.519;118.118;613758.6487;0.239837401;4.107011036
844.56;0.949044586;67.646;33.823;6539.07;9464165.154;213.495;8068106.404;0.976742391;1388067.086;118.12;615672.1376;0.240585132;4.059861823
850.77;0.950636943;67.7595;33.87975;6539.07;9473983.98;213.401;8078539.903;0.978005492;1386055.999;118.037;614203.7934;0.240011349;4.074830193
856.98;0.950636943;67.7595;33.87975;6539.07;9513192.403;213.734;8115570.816;0.982488535;1386077.396;118.076;613970.1667;0.239920055;4.095066307
863.19;0.950636943;67.7595;33.87975;6539.07;9506442.811;213.435;8110776.406;0.981908113;1384765.339;118.164;612082.6715;0.239182482;4.105267679
869.4;0.949044586;67.646;33.823;6539.07;9479120.804;213.299;8084343.712;0.978708114;1382996;118.257;609705.199;0.238253441;4.107844608
875.61;0.949044586;67.646;33.823;6539.07;9476159.999;213.608;8079362.334;0.978105058;1382331.933;118.096;610093.9223;0.238405342;4.10269774
881.82;0.949044586;67.646;33.823;6539.07;9472127.918;213.474;8076206.489;0.977723004;1382094.977;118.193;609222.6765;0.238064887;4.106960155
888.03;0.949044586;67.646;33.823;6539.07;9478066.894;213.483;8082086.613;0.978434865;1383302.507;117.9;612346.154;0.239285443;4.088986166
894.24;0.950636943;67.7595;33.87975;6539.07;9494323.665;213.752;8096584.374;0.980189995;1386785.907;118.202;613854.7549;0.239874956;4.086253986
900.45;0.950636943;67.7595;33.87975;6539.07;9500935.313;213.835;8102653.28;0.98092471;1382659.271;118.24;609479.6342;0.238165298;4.118671861
906.66;0.950636943;67.7595;33.87975;6539.07;9491016.044;213.782;8093080.581;0.979765818;1383686.746;117.944;612442.6739;0.23932316;4.093903072
912.87;0.950636943;67.7595;33.87975;6539.07;9523441.11;213.829;8125198.311;0.98365406;1381348.811;118.207;608384.9635;0.237737535;4.13756313
919.08;0.950636943;67.7595;33.87975;6539.07;9543734.96;214.267;8142628.048;0.985764142;1385154.911;118.106;612851.5096;0.23948292;4.116218991
925.29;0.950636943;67.7595;33.87975;6539.07;9554144.489;214.332;8152612.538;0.986972886;1383531.464;117.928;612392.017;0.239303364;4.124358584
931.5;0.950636943;67.7595;33.87975;6539.07;9536926.136;214.169;8136460.053;0.985017431;1382869.664;117.788;612645.6868;0.239402491;4.114482805
937.71;0.950636943;67.7595;33.87975;6539.07;9523075.976;213.866;8124591.231;0.983580566;1378384.824;118.008;606722.2514;0.2370878;4.148592064
943.92;0.950636943;67.7595;33.87975;6539.07;9530133.079;213.56;8133649.29;0.984677154;1380434.222;118.011;608752.0322;0.237880974;4.139369103
950.13;0.949044586;67.646;33.823;6539.07;9610252.197;214.957;8204633.327;0.993270635;1380185.904;118.04;608314.0812;0.237709837;4.178500347
956.34;0.949044586;67.646;33.823;6539.07;9604528.729;215.072;8198157.866;0.992486701;1382137.527;118.147;609566.0237;0.238199056;4.16662735
962.55;0.949044586;67.646;33.823;6539.07;9623092.75;215.111;8216466.863;0.994703228;1383736.343;118.081;611596.4183;0.23899247;4.162069329
968.76;0.949044586;67.646;33.823;6539.07;9672200.745;215.93;8260219.36;1;1383092.153;118.138;610579.5013;0.238595091;4.191201069
974.97;0.949044586;67.646;33.823;6539.07;9669895.375;215.694;8259457.21;0.999907733;1380432.419;118.13;607972.0799;0.237576193;4.208787583
981.18;0.949044586;67.646;33.823;6539.07;9650233.941;215.441;8241450.161;0.99772776;1381892.455;118.061;609883.3117;0.238323042;4.186451094
987.39;0.949044586;67.646;33.823;6539.07;9571922.126;214.659;8168251.899;0.98886622;1376032.447;117.617;606926.6508;0.237167673;4.169481484
993.6;0.949044586;67.646;33.823;6539.07;9407288.001;212.348;8018729.565;0.970764724;1377770.855;117.597;608795.8402;0.237898093;4.080590612
999.81;0.949044586;67.646;33.823;6539.07;9413035.998;212.733;8021960.02;0.97115581;1376369.163;117.594;607413.7654;0.237358022;4.091523018
1006.02;0.949044586;67.646;33.823;6539.07;9433543.525;212.564;8043572.65;0.973772281;1373946.321;117.633;604735.8997;0.236311597;4.120713051
1012.23;0.949044586;67.646;33.823;6539.07;9410360.251;212.669;8019702.773;0.970882542;1375584.943;117.586;606681.858;0.237072016;4.095306399
1018.44;0.947452229;67.5325;33.76625;6539.07;9426771.918;212.624;8036408.698;0.972904998;1373766.33;117.798;603476.9621;0.235819644;4.125631696
1024.65;0.947452229;67.5325;33.76625;6539.07;9441331.723;212.716;8050366.909;0.974594809;1375859.786;117.494;607558.2954;0.237414499;4.105034912
1030.86;0.947452229;67.5325;33.76625;6539.07;9412313.304;212.627;8021930.467;0.971152232;1376592.619;117.624;607441.0493;0.237368683;4.09132417
1037.07;0.947452229;67.5325;33.76625;6539.07;9417281.408;212.562;8027323.611;0.971805137;1371870.243;117.681;602345.9463;0.235377679;4.128705585
1043.28;0.947452229;67.5325;33.76625;6539.07;9443794.835;212.85;8051953.786;0.97478692;1377704.009;117.489;609435.2138;0.23814794;4.093199048
1049.49;0.947452229;67.5325;33.76625;6539.07;9420198.272;212.432;8031090.554;0.972261172;1373144.607;117.683;603607.2322;0.235870549;4.122011732
1055.7;0.947452229;67.5325;33.76625;6539.07;9416533.182;212.673;8025849.548;0.971626684;1373479.752;117.305;606414.1457;0.236967402;4.100254616
1061.91;0.947452229;67.5325;33.76625;6539.07;9433092.312;212.757;8041859.396;0.973564871;1370425.305;117.546;601783.7828;0.235158003;4.140045662
1068.12;0.947452229;67.5325;33.76625;6539.07;9398759.088;212.378;8010004.48;0.969708446;1374913.83;117.428;607043.918;0.237213497;4.087914295
1074.33;0.947452229;67.5325;33.76625;6539.07;9461681.146;212.908;8069460.83;0.97690636;1370267.91;117.436;602345.6855;0.235377577;4.150379883
1080.54;0.947452229;67.5325;33.76625;6539.07;9421464.134;212.365;8032794.533;0.972467459;1374439.299;117.332;607197.1378;0.237273371;4.098510747
1086.75;0.949044586;67.646;33.823;6539.07;9436563.112;212.343;8048037.371;0.97431279;1370172.774;117.481;601956.2913;0.235225414;4.142038792
1092.96;0.949044586;67.646;33.823;6539.07;9471362.584;212.871;8079384.214;0.978107707;1375333.198;117.402;607633.3019;0.23744381;4.119322833
1099.17;0.949044586;67.646;33.823;6539.07;9512102.461;213.702;8114690.124;0.982381916;1371804.724;117.605;602777.3967;0.235546276;4.170653568
1105.38;0.949044586;67.646;33.823;6539.07;9432397.572;212.453;8043152.533;0.973721421;1373956.369;117.313;606838.4501;0.237133207;4.106221285
1111.59;0.949044586;67.646;33.823;6539.07;9520762.8;213.949;8121735.313;0.983234822;1371303.063;117.556;602596.1501;0.235475451;4.175530059
1117.8;0.950636943;67.7595;33.87975;6539.07;9535777.129;213.975;8136579.626;0.985031907;1375880.308;117.303;608827.7798;0.237910574;4.14034522
